電話番号,会社名・氏名,会社名・氏名（カナ）,ホワイトリスト,ブラックリスト,カテゴリー,生年月日,性別,郵便番号,都道府県,市区町村,以下の住所,備考
03-5366-1721,ＡＤインシュアランスサービス株式会社,,,,,,,,,,,
03-6228-6085,株式会社Ａ．Ｉ．Ｐ,,,,,,,,,,,
03-6222-7277,株式会社 BrightReach,,,,,,,,,,,
03-5334-6250,株式会社ＣＳ保険アドバイザ－ズ,,,,,,,,,,,
03-6264-4731,Gift Your Life 株式会社,,,,,,,,,,,
03-5661-4071,有限会社ゴ－ルド・ライフ・コンサルタント,,,,,,,,,,,
03-3304-3200,株式会社ＩＳＳ,,,,,,,,,,,
0120-71-3351,株式会社Ｉ・コネクト東京,,,,,,,,,,,
03-5829-4791,株式会社 JIC,,,,,,,,,,,
03-6426-1531,株式会社　ＮＩＣ,,,,,,,,,,,
03-3345-0817,株式会社　ＴＲＣ,,,,,,,,,,,
03-6457-8239,ＴＳＰネット　ＴＳＰネット新宿,,,,,,,,,,,
03-5414-6705,ＴＳＰネット　ＴＳＰネット東京中央,,,,,,,,,,,
03-5357-1283,株式会社 アーク・ネット,,,,,,,,,,,
03-3543-1670,株式会社アイ・エージェント,,,,,,,,,,,
03-5807-0123,株式会社あいおい総合保険サービス東京支店,,,,,,,,,,,
03-5429-9606,株式会社アイシーシー,,,,,,,,,,,
03-3365-6653,株式会社アクト,,,,,,,,,,,
03-6262-3930,アシスト　アソシエイツ　日本橋店,,,,,,,,,,,
03-3885-2139,有限会社アスミル,,,,,,,,,,,
03-5540-8619,アセットガーディアン株式会社,,,,,,,,,,,
03-3553-7935,株式会社アドバンス・フィナンシャルプランニング,,,,,,,,,,,
03-5289-0315,アプライドマネジメント合同会社,,,,,,,,,,,
03-5992-5155,有限会社アライアンス,,,,,,,,,,,
03-3479-4334,株式会社アライブ,,,,,,,,,,,
03-5939-7199,株式会社いけしん保険エージェンシー,,,,,,,,,,,
03-6822-6681,イマジン・クオリティーズ,,,,,,,,,,,
03-3993-6001,有限会社イントゥー,,,,,,,,,,,
03-5540-6837,株式会社ウインライフ東京中央支店,,,,,,,,,,,
03-5383-5161,株式会社　ウォ－ム,,,,,,,,,,,
03-6280-7813,エージェント・インシュアランス・グループ（市谷）,,,,,,,,,,,
03-6914-2342,株式会社エージェントインシュアランスグループ東京北支店,,,,,,,,,,,
03-6284-0997,株式会社エージェントインシュアランスグループ東京東支店,,,,,,,,,,,
03-6895-7775,株式会社エコスマート,,,,,,,,,,,
03-5641-0922,有限会社エス・アイ・エージェンシー,,,,,,,,,,,
03-6447-9881,株式会社エフケイ世田谷営業所,,,,,,,,,,,
03-5768-0602,株式会社エフケイ中目黒支社,,,,,,,,,,,
03-3981-8281,株式会社エフケイ南池袋支社,,,,,,,,,,,
03-5763-8261,株式会社エフケイ大森支社,,,,,,,,,,,
03-6222-8155,株式会社エフケイ東京中央支社,,,,,,,,,,,
03-6424-9551,株式会社エフケイ東京南支社,,,,,,,,,,,
03-6264-8441,株式会社エフケイ東京支店,,,,,,,,,,,
03-3936-0031,株式会社エフケイ板橋支社,,,,,,,,,,,
03-5788-2680,株式会社エフケイ武蔵小山支社,,,,,,,,,,,
03-5856-6880,株式会社エフケイ神田営業所,,,,,,,,,,,
03-5701-7065,株式会社エフケイ自由が丘支社,,,,,,,,,,,
03-6206-8983,株式会社 エフピーキューブ,,,,,,,,,,,
03-5209-7820,株式会社エリアサポートジャパン・トップエージェンシー,,,,,,,,,,,
03-3353-2401,株式会社　エル・ディー・ラボ,,,,,,,,,,,
03-6222-8501,株式会社 オフィス第一　東京営業所,,,,,,,,,,,
03-6264-3704,株式会社 カスタマーリンクス,,,,,,,,,,,
03-5960-4577,有限会社　カニイ,,,,,,,,,,,
03-5847-1222,株式会社グッドリンク,,,,,,,,,,,
