電話番号,会社名・氏名,会社名・氏名（カナ）,ホワイトリスト,ブラックリスト,カテゴリー,生年月日,性別,郵便番号,都道府県,市区町村,以下の住所,備考
03-3511-2381,株式会社　ソーケン,,,,,,,,,,,
03-5577-2897,ＲＥＰＳＳ　株式会社,,,,,,,,,,,
03-5282-7901,三井住友海上あいおい生命保険　株式会社,,,,,,,,,,,
03-3259-7450,株式会社　東商セントラル,,,,,,,,,,,
03-5210-1321,株式会社　アイ・デランテ,,,,,,,,,,,
03-6272-8281,三井住友ＩＦ　三枝室,,,,,,,,,,,
03-6261-6045,株式会社　ダイアス,,,,,,,,,,,
03-3237-0115,株式会社　ＳＨＩＥＬＤ　ＯＦ　ＬＩＦＥ,,,,,,,,,,,
03-3586-3511,太陽保険,,,,,,,,,,,
03-6261-7253,近藤商事,,,,,,,,,,,
03-6228-6095,ＡＩＰ　東京法人営業部,,,,,,,,,,,
03-5577-6390,総合保険企画,,,,,,,,,,,
0800-300-3133,株式会社　あおばコンサルティング,,,,,,,,,,,
03-3518-1007,三洋貿易,,,,,,,,,,,
03-5282-8202,株式会社　プロエージェント,,,,,,,,,,,
03-5213-0910,ＰＩＳ,,,,,,,,,,,
03-5577-7648,マリンインシュアランス　株式会社,,,,,,,,,,,
03-5280-0014,シンプル・プランニング,,,,,,,,,,,
03-3553-8552,ウーベル保険事務所,,,,,,,,,,,
090-1558-3394,ＡｔｏＺ　株式会社,,,,,,,,,,,
03-6426-7260,神谷アソシエイト　株式会社,,,,,,,,,,,
03-4413-1241,ニチアス協信株式会社,,,,,,,,,,,
03-4360-8717,株式会社　Ａｇｅｎｔ　Ｔｅｃｈ,,,,,,,,,,,
03-6228-3711,ＯＳＡ株式会社（リスクマスターズ）,,,,,,,,,,,
03-3547-1551,南海保険サービス（東京）,,,,,,,,,,,
03-6222-8501,株式会社　オフィス第一（東京）,,,,,,,,,,,
03-6280-4442,株式会社　ＬＹＳＴ,,,,,,,,,,,
03-3542-7848,東栄商会,,,,,,,,,,,
03-6904-2860,三豊保険サービス,,,,,,,,,,,
03-3275-6330,三鱗,,,,,,,,,,,
03-5565-8661,株式会社　Ｊ－ＮＩＫＫＡパートナーズ,,,,,,,,,,,
03-3272-4621,東洋ビーネット,,,,,,,,,,,
03-6914-1520,ＡＬＩＯＤＤ　株式会社,,,,,,,,,,,
03-5540-6837,（株）ウインライフ東京中央支店,,,,,,,,,,,
03-3297-4811,シュテルン中央,,,,,,,,,,,
03-3437-2925,武蔵エンタープライズ,,,,,,,,,,,
03-3231-1221,小橋興産,,,,,,,,,,,
03-4582-3414,ＳＭＣ商事,,,,,,,,,,,
03-6255-6255,ソニックジャパン　東京支社,,,,,,,,,,,
03-4241-3301,タイガー商事,,,,,,,,,,,
03-6739-9780,株式会社　ＧＳユアサ　ソシエ（東京）,,,,,,,,,,,
03-6876-3340,レーベンコミュニティ,,,,,,,,,,,
090-7486-6247,Ｕｎｉｖｅｌホールディングス　株式会社,,,,,,,,,,,
03-6823-7147,株式会社　ＩｎｓＷｉｌｌ,,,,,,,,,,,
03-5403-9066,株式会社　フロンティア　東京支店,,,,,,,,,,,
03-6695-1511,株式会社　ＦＥＡ,,,,,,,,,,,
03-6452-9911,（株）ベストパートナーズ銀座,,,,,,,,,,,
03-3433-4717,西谷商事,,,,,,,,,,,
03-6452-8733,株式会社　Ｃｏｒｅ　Ｍａｎａｇｅｍｅｎｔ,,,,,,,,,,,
03-5473-7118,株式会社　リベロ・パーフェクション,,,,,,,,,,,
03-6722-6072,株式会社　Ｔｏｔａｌ　Ｌｉｆｅ　Ｄｅｓｉｇｎ,,,,,,,,,,,
03-6844-9206,Ａ＆Ａ　Ｃｏｎｓｕｌｔｉｎｇ　株式会社,,,,,,,,,,,
03-3578-7270,クリイト東京新都心,,,,,,,,,,,
03-6205-7301,株式会社　インディ,,,,,,,,,,,
03-6779-8035,株式会社　ＣＩＳ,,,,,,,,,,,
03-6402-4402,株式会社　Ｆｉｖｅ　Ｒｉｎｇｓ,,,,,,,,,,,
0120-726-755,Ｂｊａｋ　Ｊａｐａｎ　Ｈｏｌｄｉｎｇｓ,,,,,,,,,,,
0120-892-778,ＩＵ　株式会社,,,,,,,,,,,
0120-590-251,きらら保険サービス,,,,,,,,,,,
03-3575-1220,ファンテック,,,,,,,,,,,
059-327-5820,株式会社　ライフ,,,,,,,,,,,
03-5510-5972,株式会社　シェアティブ,,,,,,,,,,,
03-6812-9661,株式会社　６５ファイナンス,,,,,,,,,,,
03-6811-2930,株式会社　シードコンサルティング,,,,,,,,,,,
03-6362-9790,保全エージェンシー,,,,,,,,,,,
03-5843-8796,（株）ＧＰ　Ｉｎｎｏｖａｔｉｏｎ,,,,,,,,,,,
03-5730-0581,ウイルプラス帝欧オリオン,,,,,,,,,,,
03-3573-7890,マイライフ（総合保障制度推進事務所）,,,,,,,,,,,
03-3592-6292,霞友サービス,,,,,,,,,,,
0120-853-370,商船三井興産,,,,,,,,,,,
03-6206-1045,株式会社　オールワンエージェント,,,,,,,,,,,
03-6721-1343,有限会社　保険のアルプス,,,,,,,,,,,
03-3354-6521,リロ・フィナンシャル・ソリューションズ,,,,,,,,,,,
03-6384-1772,ＪＮＩ　Ｂａｎｋ　株式会社,,,,,,,,,,,
03-3364-1717,東京セントラル,,,,,,,,,,,
03-5358-9408,（株）阿部保険事務所,,,,,,,,,,,
03-5323-5651,株式会社　エムアールエム,,,,,,,,,,,
03-6457-8953,株式会社　ＮＨファシリティーズ,,,,,,,,,,,
03-6300-7940,株式会社　ＲＭパートナーズ,,,,,,,,,,,
03-6304-5683,株式会社　ポータス,,,,,,,,,,,
03-6300-5371,株式会社　アイコンシェル,,,,,,,,,,,
03-3344-6655,エイアイエム　株式会社,,,,,,,,,,,
03-3345-7682,株式会社　新都心エージェンシー,,,,,,,,,,,
03-5322-7213,ライフプラザパートナーズ,,,,,,,,,,,
03-6427-4201,株式会社　Ｊａｐａｎ　Ａｓｓｅｔ　Ｍａｎａｇｅｍｅｎｔ,,,,,,,,,,,
03-4431-3339,ＳＩＡ　株式会社,,,,,,,,,,,
03-5379-8546,株式会社オーシャンマネジメントサービス,,,,,,,,,,,
03-5351-6181,グローリア,,,,,,,,,,,
03-3363-2022,株式会社　ヒライインシュランス,,,,,,,,,,,
03-6864-7701,スミリンエンタープライズ,,,,,,,,,,,
03-5309-2280,日本ファイナンシャルプランニング　株式会社,,,,,,,,,,,
03-5326-8587,ヒポクラテス,,,,,,,,,,,
090-2941-6991,グッドウイン,,,,,,,,,,,
03-3232-2460,パルふれあいサービス,,,,,,,,,,,
03-3354-0261,イーエムセフティ,,,,,,,,,,,
0120-091-333,いずみ保険サービス,,,,,,,,,,,
03-5322-7215,株式会社　ライフプラザパートナーズ,,,,,,,,,,,
03-6262-2797,株式会社　ライフサロン（ＥＰ）,,,,,,,,,,,
03-3226-7841,マリオン,,,,,,,,,,,
03-3355-1131,（株）ジェイ・アイサービス,,,,,,,,,,,
03-3341-2781,伯東ロジスティクス,,,,,,,,,,,
03-6233-9853,ワイズマン　株式会社,,,,,,,,,,,
03-5321-3373,株式会社　ジェイアイシー,,,,,,,,,,,
03-5909-8632,ウイルプラスモトーレン東京　株式会社,,,,,,,,,,,
03-6258-1560,保険のライフサポート,,,,,,,,,,,
03-5338-8560,アキレス商事,,,,,,,,,,,
03-6258-1131,株式会社　ＦＲＥＥ　ＰＥＡＣＥ,,,,,,,,,,,
03-5322-2251,東美商事,,,,,,,,,,,
03-5269-3824,スカイコート,,,,,,,,,,,
03-3356-8230,パワーズアンリミテッド,,,,,,,,,,,
03-5904-8711,ＡＬ,,,,,,,,,,,
03-5844-0577,トータル・サポート　株式会社,,,,,,,,,,,
03-5840-9550,アイリックコ－ポレ－ション,,,,,,,,,,,
03-5802-3611,Ｋ．Ｋ．ビッグネットワーク,,,,,,,,,,,
03-6265-0423,アドバンスＦＰ（ティグレ東京）,,,,,,,,,,,
03-3817-2616,ＴＯＭＯＷＥＬビジネスパートナー株式会社,,,,,,,,,,,
03-5217-0332,共立保険サービス,,,,,,,,,,,
03-5805-3041,大樹オンユー,,,,,,,,,,,
03-6801-5072,有限会社　Ａ－Ｌｉｆｅ,,,,,,,,,,,
03-3266-0764,総合保険代理店　ピー・アール・エフ,,,,,,,,,,,
03-6285-0770,三井住友海上ＡＳ東京,,,,,,,,,,,
03-3834-5151,有限会社　ユニティ－,,,,,,,,,,,
03-3947-8443,紅陵企画,,,,,,,,,,,
03-6240-1311,メトロセルビス,,,,,,,,,,,
03-6284-4758,金湯　株式会社,,,,,,,,,,,
03-3843-6206,有限会社　忍,,,,,,,,,,,
03-5817-3288,プロシード,,,,,,,,,,,
03-6802-7308,ジェネラルエイチ　株式会社,,,,,,,,,,,
03-6284-4812,株式会社　富士保険企画,,,,,,,,,,,
03-5806-2366,保険のアイプラン,,,,,,,,,,,
03-5816-4661,エークイック,,,,,,,,,,,
03-5816-2559,明治サービス,,,,,,,,,,,
03-5830-7201,株式会社　フードセーフティ企画,,,,,,,,,,,
03-6659-9378,丸友商事　株式会社,,,,,,,,,,,
03-3253-7250,成光商事　株式会社,,,,,,,,,,,
03-5806-1531,ＯＳＡ　株式会社,,,,,,,,,,,
03-3251-1141,株式会社　ティープランニング,,,,,,,,,,,
03-6231-7840,ジャパンクリエイト,,,,,,,,,,,
090-2334-5197,太田地産　株式会社,,,,,,,,,,,
03-3805-7881,金剛保険（株）東京支社,,,,,,,,,,,
03-6240-4712,インネット－ウイング,,,,,,,,,,,
03-3624-0777,インネット,,,,,,,,,,,
03-6661-9577,エアロエントリー（株）,,,,,,,,,,,
